title,text,subject,date,label
Obama defends record on terrorism in national security speech,"TAMPA, Fla. (Reuters) - President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might as he offered a sweeping defense of his administration’s national security record. In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda “a shadow of its former self” and had put Islamic State on its heels, but said terrorism would remain a threat to the United States. “Rather than offer false promises that we can eliminate terrorism by dropping more bombs or deploying more and more troops or fencing ourselves off from the rest of the world, we have to take a long view of the terrorist threat and we have to pursue a smart strategy that can be sustained,” Obama said during a speech at MacDill Air Force Base in Tampa, Florida. Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism.  Trump referred to Obama and Democratic presidential nominee Hillary Clinton as the “co-founders” of Islamic State during the presidential campaign, blaming them for the initial spread of the militant group. The White House said Obama’s national security speech had been planned long before the Nov. 8 election and was not aimed specifically at the incoming Trump administration. But during his speech, Obama spoke of the importance of adhering to American laws and values and against reinstating the use of waterboarding or imposing a religious test on immigrants, two positions that Trump has supported in the past. “The whole objective of these terrorists is to scare us into changing who we are and our democracy,” Obama said. Obama signed an executive order after taking office in January 2009 that banned waterboarding and other “enhanced interrogation techniques” or EITs. Such executive orders can be rescinded by a president’s successors. Many lawmakers and human rights groups have denounced waterboarding, an interrogation technique that simulates drowning, as torture. While Trump is now calling for “extreme vetting” of certain refugees admitted to the United States, during the campaign he proposed banning foreign-born Muslims from entering the country. Obama came into office planning to unwind U.S. wars in Iraq and Afghanistan and promising to focus on fighting militant groups that threatened the United States wherever they were. Instead, he has been forced to return some U.S. troops to Iraq and keep thousands in place in Afghanistan after more than 14-1/2 years of war. Obama said his administration’s approach of providing support to local partners and not undertaking massive ground invasions has been effective and is making progress in the fight to take Mosul in Iraq from Islamic State. Some counterterrorism experts have pointed to the rise of Islamic State as an example of Obama being too slow to respond to an emerging threat.  While the United States has been successful in killing some key militant leaders, Obama’s “legacy has been tarnished by the way terrorist groups have regenerated and strengthened in the latter parts of his presidency,” said Robin Simcox, a fellow at the Heritage Foundation. ",politicsNews,"December 6, 2016 ",1
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,"NEW YORK (Reuters) - A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the “Bridgegate” lane closure scandal. The decision late Wednesday by U.S. District Judge Susan Wigenton clears the way for the two defendants to be sentenced on March 15. Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013. U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign. Christie has not been charged in the case and has denied any knowledge of the plan. But Kelly and another conspirator, former Port Authority official David Wildstein, both testified that Christie was aware of the lane closures before they occurred. Wildstein pleaded guilty and appeared at trial as the government’s star witness. In asking for an acquittal or a new trial, Kelly’s lawyers had argued that Wigenton erred when she instructed jurors that they could convict the defendants even if prosecutors failed to prove they had intentionally targeted the mayor for retribution. The motivation for the scheme, Kelly’s lawyers said, was at the core of the government’s case. But Wigenton said motive, while central to the prosecution, is not a required element of the crimes for which Baroni and Kelly were convicted. “The government was under no obligation to introduce evidence of motive, although motive helps present a coherent narrative of events to a jury,” she wrote. Lawyers for Baroni and Kelly did not immediately respond to requests for comment. They can still ask a U.S. appeals court to overturn the verdict after sentencing has taken place. A spokesman for New Jersey’s chief federal prosecutor, U.S. Attorney Paul Fishman, declined to comment on the ruling. The scandal’s fallout helped sink Christie’s once-promising political career. He was passed over for a position in President Donald Trump’s administration after his own presidential bid sputtered, and he has seen record-low approval ratings in New Jersey. ",politicsNews,"March 2, 2017 ",1
German admits selling gun to Munich attack shooter,"BERLIN (Reuters) - A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year, a court spokesman said, adding that the defendant told relatives he felt sorry for his actions. David Ali Sonboly, 18, killed nine people before shooting himself dead. Another 27 people were injured. Police concluded the German-born Sonboly was a deranged lone gunman obsessed with mass killings who drew no inspiration from Islamist militancy. The Munich public prosecutor s office has charged the accused, identified only as Philipp K., as is customary in German law, with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm.  A written statement was read, acknowledging that the accused had traded with weapons. The defendant expressed his regret that one of these firearms was used in the rampage here in Munich,  court spokesman Florian Gliwitzky said.  He offered his apologies to the relatives and with this, he also expressed that he was regretting his actions.  A spokeswoman for the public prosecutor said the suspect so far only had admitted to the charge of selling weapons illegally. She added that evidence revealed during the hearing showed that the suspect had far-right attitudes. A defense lawyer said his client would not give any more statements in the course of the trial. Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called  dark net  and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550). During a sting operation, the suspected arms dealer said he had sold the 18-year-old Iranian-German another Glock 17 pistol during a meeting in Marburg, followed by 350 rounds of ammunition during a second meeting. Authorities around Europe are concerned that secretive marketplaces make it too easy for criminals and militants to obtain weaponry that has traditionally been highly regulated across Europe. ",worldnews,"August 28, 2017 ",1
 Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,"Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin s 1st District. Bryce is a union ironworker who has been campaigning for all of one day, and he s already raised $100,000. That is a lot for a new face who s a Democrat living in Republican-land and running in a district that s gone to Paul Ryan every two years since 1999.Bryce isn t just a union ironworker in Republican-land, Wisconsin, though. He s an Army veteran who enlisted right after high school, and then worked his way up to being an ironworker through apprenticeship. His mother suffers from multiple sclerosis, his father is in an assisted living facility, and Randy himself is a cancer survivor. He s campaigning primarily on healthcare right now, and he says on his website: What Paul Ryan and the Republicans are doing to take health care away from millions of us, to make it cost more and cover less, and to allow the protections we ve gained to be stripped away   it s just unacceptable. Bryce has an uphill battle to fight. Ryan is very well-connected both in the 1st District and across America. However, Bryce will work to tie Ryan to Donald Trump as much as possible, working off Democrats  hopes that the Trump effect will help flip Congress next year.But it may not be that terrible a climg. Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent. That could very well pull down his popularity in his own district. He s also starting to get a reputation for making every excuse in the book for Trump. Regarding obstruction of justice, Ryan lamely claimed that Trump is new and doesn t know what s appropriate and what s not when it comes to interacting with various agency heads, particularly those in the law enforcement and intelligence communities. Ryan gave him a pass as though he s a little child navigating his way through the world for the first time.He s also confident that Trump will approve of the massively unpopular GOP healthcare bill whatever form that ends up taking and once again blasted the ACA while claiming that their bill is ever so much better.Ryan is almost inextricably linked to Trump right now, and as Trump s base shrinks, so will Ryan s. What Bryce is doing and clearly, what many are hoping he can do is taking advantage of the possibility that a hole will open up in the 1st District because of Trump.Featured image via Win McNamee/Getty Images",News,"June 21, 2017",0
STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,"You d think she d know a thing or two about email servers and at a minimum, question Hillary s integrity Apple founder Steve Jobs  widow Laurene has told of her admiration for Democratic White House front-runner Hillary Clinton.Ms Jobs, 51, called former First Lady Hillary a  revolutionary  woman, and added that it s not just because she s a woman   but  the type of woman she is .Speaking to Time 100, Ms Jobs said:  Hillary Clinton is not familiar. She is revolutionary. Not radical, but revolutionary: The distinction is crucial. She is one of America s greatest modern creations. Her decades in our public life must not blind us to the fact that she represents new realities and possibilities. Indeed, those same decades have conferred upon her what newness usually lacks: judgment, and even wisdom. Oops wrong picture! It matters, of course, that Hillary is a woman. But what matters more is what kind of woman she is. Mrs Clinton announced her intention to seek the Democratic nomination on Sunday   and set upon the campaign trail with a trip to meet  ordinary  voters in Iowa.But she was blasted for her  staged  visit on Tuesday morning to a coffee shop in LeClaire, Iowa.Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated  from beginning to end .Bird told Daily Mail Online that campaign staffer Troy Price called and asked him and two other young people to meet him Tuesday morning at a restaurant in Davenport, a nearby city. Price then drove them to the coffee house to meet Clinton after vetting them for about a half-hour.The three got the lion s share of Mrs. Clinton s time and participated in what breathless news reports described as a  roundtable  the first of many in her brief Iowa campaign swing. Bird himself is a frequent participant in Iowa Democratic Party events. He interned with President Obama s 2012 presidential re-election campaign, and was tapped to chauffeur Vice President Joe Biden in October 2014 when he visited Davenport. What happened is, we were just asked to be there by Troy,  Bird said Wednesday in a phone interview. We were asked to come to a meeting with Troy, the three of us, at the Village Inn. The other two, he confirmed, were University of Iowa College Democrats president Carter Bell and Planned Parenthood of the Heartland employee Sara Sedlacek. It was supposed to be a strategy meeting,  Bird recalled,  to get our thoughts about issues. But then all of a sudden he says,  Hey, we have Secretary Clinton coming in, would you like to go meet her? And then we got in a car   Troy s car   and we went up to the coffee house, and we sat at a table and then Hillary just came up and talked with us. Bird said  we all were called. I mean, Troy asked us all to do   to go to a meeting with him. And we didn t really know what it was about. I mean, he did. He knew. Via: UK Daily Mail",politics,"Apr 16, 2015",0
DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],"Hillary Clinton continues on the path to complete and total denial. #CODECON 2017 included a blah, blah, blah session by Clinton. She spews ridiculous victimhood it s embarrassing!  Nobody said don t do this https://www.youtube.com/watch?v=9_nKOL4h0iUThis woman needs to go off into the woods for another walk. ",politics,"May 31, 2017",0
FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,"A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight.John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government s case against him, the Record Spotlight reports.While the Clean Water Act protects  waters of the U.S.,  it does contain exemptions for farmers.The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land. The vernal pools, temporary bodies of water that house certain species of plants and animals, are protected as waters of the United States by the Clean Water Act of 1972. We expected the Trump administration to provide regulatory relief from Obama-era overreach, and we haven t seen it yet,  Duarte said according to the Record Spotlight.  We re hoping to see the administration engage this issue, to look at it again. House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case.Read more: DC",politics,"Jul 29, 2017",0
"Bus drives into pedestrian underpass in Moscow, kills four: agencies","MOSCOW (Reuters) - A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people, Russian news agencies reported. Video from the scene posted on social media showed a bus veering off the road and plunging down the steps of a pedestrian underpass, crushing several people beneath its wheels. The driver of the bus had been detained by police, agencies said, after he lost control of the vehicle. The incident occurred on one of the Russian capital s busiest roads near the Slavyansky Boulevard metro station. Monday was an ordinary working day in Russia where Orthodox Christmas will be celebrated on Jan. 7.  An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people. There were also unconfirmed reports that some 15 people had been injured. The Interfax news agency said investigators were looking into whether the incident had occurred as a result of a technical fault with the bus. Ten ambulances, fire service personnel, and three medivac helicopters were on the scene, agencies reported. ",worldnews,"December 25, 2017 ",1
(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,I listened to this interview and it really reinforces my belief that Trump s heart is in the right place. I especially love his comment on our vets. He s passionate about making America great again and it shows! ,politics,"Aug 1, 2015",0
ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video], ,politics,"Jul 20, 2016",0
